WELL_LOG_NO,WELL_SCREEN_ID,SCREEN_DIAM,SCREEN_TYPE_CODE,SCREEN_MAT_CODE,SCREEN_SLOT_SIZE,SCREENED_INTERVAL_FROM,SCREENED_INTERVAL_TO,SCREEN_LENGTH
973878,14531,,,,,72.0,75.0,3.0
973881,14532,,,,,115.0,118.0,3.0
973884,14533,,,,,128.0,131.0,3.0
2009042,14650,2.000,MAC,PVC,0.01,3.0,9.0,6.0
2009043,14651,2.000,MAC,PVC,0.01,5.0,12.0,7.0
2009044,14652,2.000,MAC,PVC,0.01,4.0,11.0,7.0
2009045,14653,2.000,MAC,PVC,0.01,2.0,9.0,7.0
2009046,14654,2.000,MAC,PVC,0.01,3.0,11.0,8.0
2009047,14655,2.000,MAC,PVC,0.01,6.0,16.0,10.0
2009048,14656,2.000,MAC,PVC,0.01,5.5,9.0,10.0
2009049,14657,2.000,MAC,PVC,0.101,6.0,13.0,7.0
2009050,14658,2.000,MAC,PVC,0.01,4.0,10.0,6.0
2009051,14659,2.000,MAC,PVC,0.01,5.0,13.0,8.0
2009052,14660,2.000,MAC,PVC,0.01,5.0,12.0,7.0
2009053,14661,2.000,MAC,PVC,0.01,3.0,9.0,6.0
2009054,14662,2.000,MAC,PVC,0.01,7.0,13.0,6.0
2009055,14663,2.000,MAC,PVC,0.01,4.0,11.0,7.0
958197,14700,,,,0.02,82.0,84.0,4.0
973934,14741,,,,0.015,87.0,92.0,5.0
967740,14932,,,,,150.0,154.0,4.0
958200,14944,,,,0.03,86.0,90.0,4.0
973936,14945,,,,0.02,185.0,188.0,3.0
973935,14946,,,,0.015,83.0,88.0,5.0
973931,14971,,,,,265.0,270.0,5.0
973921,14989,,,,,122.0,126.0,4.0
973925,15092,,,,,105.0,108.0,3.0
439318,15242,,,,0.015,,,2.0
788039,15243,,,,0.02,52.0,56.0,4.0
166878,15246,,,,0.05,100.0,102.0,2.0
1005510,15423,,,,0.02,93.0,97.0,4.0
973892,15477,,,,,97.0,148.0,
748321,15489,5.000,CWW,PVC,0.03,48.0,52.0,4.0
973913,15618,,,,,81.0,86.0,5.0
973905,15844,,,,,101.0,106.0,5.0
973906,15849,6.000,CWW,STA,0.015,119.0,122.0,3.0
973880,16482,,,,,76.0,79.0,3.0
973896,16529,4.000,CWW,STA,0.02,133.0,136.0,3.0
973894,16530,,,,,189.0,193.0,4.0
973895,16531,,,,,80.0,83.0,3.0
973879,16670,,,,,179.0,184.0,5.0
27481,16969,,,,0.05,75.0,77.0,
693993,16970,,CWW,STA,0.025,104.0,114.0,10.0
2089940,17015,16.000,CWW,STA,0.05,135.0,165.0,30.0
2078790,17044,6.000,MAC,PVC,0.025,58.0,63.0,5.0
2086395,17065,6.000,MAC,PVC,0.05,131.0,141.0,10.0
957515,17098,,,,,90.0,95.0,5.0
974780,17138,4.000,CWW,STA,0.02,103.0,107.0,4.0
974781,17139,6.000,CWW,STA,0.02,101.0,106.0,5.0
2083465,17223,2.000,MAC,PVC,0.01,4.0,16.0,12.0
2083948,17351,10.000,CWW,STA,0.05,180.0,210.0,30.0
2083949,17352,10.000,CWW,STA,0.05,110.0,130.0,20.0
1021503,17353,4.000,CWW,STA,20.0,91.0,94.0,3.0
1021505,17355,4.000,CWW,STA,20.0,119.0,122.0,3.0
2077377,17361,5.000,MAC,PVC,0.02,63.0,68.0,5.0
974045,17461,,,,,91.0,94.0,3.0
795409,17488,4.000,CWW,STA,0.02,121.0,124.0,3.0
2070875,17496,5.000,CWW,STA,0.015,105.0,110.0,5.0
1020970,17676,4.000,CWW,STA,20.0,84.0,88.0,4.0
1020962,17792,6.000,CWW,STA,15.0,131.0,136.0,5.0
2078521,17865,5.000,MAC,PVC,0.02,80.0,85.0,5.0
2085091,17888,5.000,MAC,PVC,0.02,63.0,68.0,5.0
962615,18148,,,,,87.0,90.0,3.0
962617,18149,4.000,CWW,STA,0.02,77.0,80.0,3.0
1007594,18181,,,,,78.0,86.0,8.0
974805,18317,4.000,CWW,STA,0.02,171.0,174.0,3.0
974804,18319,4.000,CWW,STA,0.015,181.0,185.0,4.0
1021509,18837,4.000,CWW,STA,20.0,147.0,150.0,3.0
2083409,18943,2.000,MAC,PVC,0.01,1.0,10.0,9.0
2081572,18972,2.000,MAC,PVC,0.01,2.0,7.0,5.0
2083763,18993,2.000,MAC,PVC,0.01,2.0,16.0,14.0
2083764,18994,2.000,MAC,PVC,0.01,2.0,16.0,14.0
2083762,19022,2.000,MAC,GAL,0.01,2.0,16.0,14.0
1020958,19093,6.000,CWW,STA,20.0,85.0,90.0,5.0
1020959,19094,6.000,CWW,STA,15.0,103.0,108.0,3.0
2081434,19122,2.000,MAC,PVC,0.01,22.0,32.0,10.0
1021543,19135,6.000,CWW,STA,15.0,194.0,199.0,5.0
974812,19383,4.000,CWW,STA,0.02,96.0,105.0,3.0
1021960,19396,4.000,CWW,STA,20.0,91.0,94.0,3.0
2068712,19443,5.000,CWW,PVC,0.02,79.0,84.0,5.0
1021980,19499,6.000,CWW,STA,25.0,283.0,293.0,10.0
1021975,19500,6.000,CWW,STA,15.0,113.0,118.0,5.0
2080339,19553,2.000,MAC,PVC,0.01,2.0,9.5,7.0
2083459,19569,2.000,MAC,PVC,0.01,3.0,16.0,13.0
2080168,19588,2.000,MAC,PVC,0.01,5.0,15.0,10.0
1021528,19676,4.000,CWW,STA,20.0,88.0,91.0,3.0
1021533,19677,4.000,CWW,STA,20.0,132.0,135.0,3.0
9986032,19715,8.000,CWW,STA,0.0,115.0,130.0,15.0
2083414,19822,2.000,MAC,PVC,0.01,4.0,16.0,12.0
1021556,19883,4.000,CWW,STA,20.0,118.0,122.0,4.0
1021557,20126,6.000,CWW,STA,20.0,161.0,166.0,5.0
1021558,20127,4.000,CWW,STA,20.0,115.0,119.0,4.0
1021964,20151,6.000,CWW,STA,15.0,150.0,153.0,3.0
974779,20361,4.000,CWW,STA,0.02,194.0,198.0,4.0
974776,20362,6.000,CWW,STA,0.015,91.0,94.0,3.0
974775,20363,4.000,CWW,STA,0.02,95.0,99.0,4.0
1020961,20407,4.000,CWW,STA,20.0,148.0,151.0,3.0
925569,20493,,,,0.02,195.0,200.0,5.0
929653,20497,,,,0.02,108.0,111.0,3.0
915558,20522,8.000,CWW,STA,0.04,124.0,164.0,40.0
929666,20548,,,,0.02,98.0,101.0,3.0
926313,20852,,,,0.02,104.0,107.0,3.0
922354,20854,,,,0.02,139.0,142.0,3.0
910760,20855,,,,0.02,111.0,114.0,3.0
883231,20856,,,,0.02,115.0,118.0,3.0
892032,20857,,,,0.02,114.0,117.0,3.0
892021,20858,,,,0.015,85.0,89.0,4.0
877539,20860,,,,0.015,203.0,208.0,5.0
908156,20861,,,,0.02,180.0,184.0,4.0
883208,20862,,,,0.015,70.0,74.0,4.0
877591,20863,,,,0.02,158.0,161.0,3.0
910738,20864,,,,0.02,120.0,123.0,3.0
922362,20867,,,,0.03,86.0,89.0,3.0
922375,20868,,,,0.02,87.0,90.0,3.0
926320,20869,,,,0.015,106.0,109.0,3.0
877588,20870,,,,0.02,114.0,117.0,3.0
886782,20871,,,,0.015,138.0,142.0,4.0
877561,20872,,,,0.02,62.0,65.0,3.0
877535,20873,4.000,CWW,STA,0.015,129.0,133.0,4.0
892078,20874,,,,0.02,180.0,183.0,3.0
892084,20875,,,,0.02,106.0,109.0,3.0
892060,20876,,,,0.02,90.0,93.0,3.0
926302,20889,,,,0.02,105.0,108.0,3.0
926300,20890,,,,0.015,107.0,112.0,5.0
922430,20891,,,,0.015,106.0,110.0,4.0
910747,20892,,,,0.015,111.0,115.0,4.0
914885,20893,,,,0.015,71.0,76.0,5.0
886751,20898,,,,0.015,150.0,154.0,4.0
877614,20899,,,,0.02,105.0,108.0,3.0
908200,20900,,,,0.015,71.0,75.0,4.0
877555,20901,,,,0.02,52.0,55.0,3.0
868461,20907,,,,0.02,93.0,97.0,4.0
878802,20908,,,,0.018,141.0,145.0,4.0
865150,20909,,,,0.02,33.0,37.0,4.0
868472,20910,,,,0.02,86.0,90.0,4.0
748308,20911,,,,0.04,125.0,129.0,4.0
865055,20912,,,,0.02,76.0,80.0,4.0
748307,20913,,,,0.03,37.0,41.0,4.0
865079,20914,,,,0.02,97.0,101.0,4.0
748304,20916,,,,0.03,146.0,150.0,4.0
748312,20918,,,,0.02,153.0,158.0,5.0
878818,20919,,,,0.018,106.0,110.0,4.0
773958,20920,,,,0.025,92.0,96.0,4.0
910217,20921,,,,0.02,39.0,43.0,4.0
919196,20968,,,,0.02,137.0,140.0,31.0
865132,20969,,,,0.02,90.0,94.0,4.0
934161,20970,,,,0.02,96.0,99.0,3.0
919236,20971,,,,0.02,64.0,67.0,3.0
892100,20972,,,,0.02,180.0,184.0,4.0
934160,20973,,,,0.02,149.0,154.0,5.0
877605,20998,,,,0.02,140.0,143.0,3.0
877557,20999,,,,0.02,102.0,105.0,3.0
877603,21000,,,,0.02,76.0,79.0,3.0
910698,21001,,,,0.015,128.0,132.0,4.0
910719,21003,,,,0.015,79.0,84.0,5.0
910714,21005,,,,0.02,72.0,76.0,4.0
922390,21019,,,,0.015,129.0,134.0,5.0
914895,21020,,,,0.02,76.0,79.0,3.0
908134,21021,6.000,CWW,STA,0.02,121.0,131.0,10.0
908159,21022,,,,0.015,97.0,102.0,5.0
908198,21023,,,,0.015,73.0,77.0,4.0
908149,21024,,,,0.015,120.0,124.0,4.0
910199,21025,,,,0.02,146.0,150.0,4.0
865059,21026,,,,0.02,72.0,76.0,4.0
873247,21027,,,,0.02,76.0,79.0,3.0
883227,21028,,,,0.02,148.0,153.0,5.0
897840,21029,,,,0.015,135.0,139.0,4.0
910203,21031,,,,0.02,91.0,95.0,4.0
919239,21033,,,,0.02,122.0,125.0,3.0
919248,21034,,,,0.02,98.0,101.0,3.0
877562,21035,,,,0.02,119.0,122.0,3.0
877559,21036,,,,0.02,88.0,91.0,3.0
910190,21037,,,,0.02,56.0,60.0,4.0
865122,21038,,,,0.02,68.0,72.0,4.0
873249,21039,,,,0.015,88.0,92.0,4.0
878807,21040,,,,0.018,66.0,70.0,4.0
910205,21041,,,,0.02,91.0,95.0,4.0
865148,21042,,,,0.02,39.0,43.0,4.0
865130,21043,,,,0.02,120.0,124.0,4.0
865141,21044,,,,0.02,58.0,62.0,4.0
865084,21045,,,,0.02,91.0,95.0,4.0
929638,21046,,,,0.015,113.0,118.0,5.0
865061,21047,,,,0.02,101.0,105.0,4.0
934147,21049,,,,0.02,56.0,60.0,4.0
962655,21062,,,,0.02,105.0,108.0,3.0
964606,21063,,,,0.02,140.0,144.0,4.0
964605,21070,,,,0.02,56.0,60.0,4.0
962672,21073,,,,0.015,57.0,62.0,5.0
962644,21085,,,,,131.0,134.0,3.0
966276,21173,,,,0.02,92.0,95.0,3.0
966278,21174,,,,0.02,112.0,115.0,3.0
966277,21175,,,,0.02,108.0,111.0,3.0
962636,21193,,,,0.02,167.0,170.0,3.0
962637,21194,,,,0.015,104.0,109.0,5.0
967753,21199,,,,0.025,92.0,96.0,4.0
966336,21209,,,,0.15,125.0,130.0,5.0
966338,21211,,,,0.2,59.0,62.0,3.0
966301,21238,,,,0.2,124.0,127.0,3.0
958151,21243,,,,0.02,144.0,148.0,4.0
966333,21283,,,,,75.0,80.0,5.0
966330,21295,,,,,168.0,172.0,4.0
748316,21296,,,,0.04,55.0,59.0,
748317,21297,,,,0.3,66.0,70.0,4.0
966340,21300,,,,0.15,44.0,47.0,3.0
962622,21401,,,,0.02,,,3.0
964609,21523,,,,0.02,57.0,61.0,4.0
962678,21525,,,,0.02,137.0,140.0,3.0
962624,21545,,,,0.015,206.0,209.0,3.0
773973,21572,,,,0.25,111.0,115.0,4.0
966351,21587,,,,0.02,112.0,115.0,3.0
966349,21588,,,,0.02,105.0,108.0,3.0
962682,21664,,,,,78.0,81.0,3.0
962665,21715,,,,0.02,74.0,77.0,3.0
910255,21729,5.000,CWW,PVC,0.02,60.0,64.0,4.0
910256,21730,5.000,CWW,PVC,0.02,57.0,65.0,8.0
910254,21731,,,,0.02,63.0,67.0,4.0
966409,21812,,,,0.02,86.0,89.0,3.0
953355,21861,,,,0.01,77.0,82.0,5.0
964617,21953,,,,0.02,59.0,63.0,4.0
974813,21980,4.000,CWW,STA,0.02,224.0,228.0,4.0
2086232,22007,5.000,CWW,STA,0.02,190.0,195.0,5.0
1020940,22214,6.000,CWW,STA,15.0,182.0,187.0,5.0
2080169,22311,2.000,MAC,PVC,0.01,4.0,14.0,10.0
974789,22380,6.000,CWW,STA,0.015,162.0,167.0,5.0
974788,22381,4.000,CWW,STA,0.02,138.0,141.0,3.0
2083893,22569,6.000,MAC,PVC,0.025,60.0,65.0,5.0
1021579,22604,4.000,CWW,STA,14.0,51.0,55.0,4.0
1021580,22605,4.000,CWW,STA,20.0,87.0,91.0,4.0
